+0.0ns POS: x=150, y=93.986, z=0; VEL:0, y=50.4038, z=0
+0.0ns POS: x=195.418, y=150, z=0; VEL:50.1186, y=0, z=0
+104727357.0ns POS: x=200.667, y=150, z=0; VEL:0, y=0, z=0
+104727357.0ns POS: x=200.667, y=150, z=0; VEL:50.1239, y=0, z=0
+204480076.0ns POS: x=205.667, y=150, z=0; VEL:0, y=0, z=0
+204480076.0ns POS: x=205.667, y=150, z=0; VEL:50.0742, y=0, z=0
+291007088.0ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+291007088.0ns POS: x=210, y=150, z=0; VEL:0, y=50.0742, z=0
+304331866.0ns POS: x=210, y=150.667, z=0; VEL:0, y=0, z=0
+304331866.0ns POS: x=210, y=150.667, z=0; VEL:0, y=50, z=0
+317714814.0ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+317714814.0ns POS: x=150, y=110, z=0; VEL:50.4038, y=0, z=0
+509879027.0ns POS: x=159.686, y=110, z=0; VEL:0, y=0, z=0
+509879027.0ns POS: x=159.686, y=110, z=0; VEL:50.1291, y=0, z=0
+604331866.0ns POS: x=210, y=165.667, z=0; VEL:0, y=0, z=0
+604331866.0ns POS: x=210, y=165.667, z=0; VEL:0, y=50, z=0
+609621400.0ns POS: x=164.686, y=110, z=0; VEL:0, y=0, z=0
+609621400.0ns POS: x=164.686, y=110, z=0; VEL:50.3922, y=0, z=0
+690987310.0ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+690987310.0ns POS: x=210, y=170, z=0; VEL:-50, y=0, z=0
+715078211.0ns POS: x=170, y=110, z=0; VEL:0, y=0, z=0
+715078211.0ns POS: x=170, y=110, z=0; VEL:0, y=-50.3922, z=0
+1090987310.0ns POS: x=190, y=170, z=0; VEL:0, y=0, z=0
+1090987310.0ns POS: x=190, y=170, z=0; VEL:0, y=-50, z=0
+1104331866.0ns POS: x=190, y=169.333, z=0; VEL:0, y=0, z=0
+1104331866.0ns POS: x=190, y=169.333, z=0; VEL:0, y=-50.2111, z=0
+1105730371.0ns POS: x=170, y=90.3142, z=0; VEL:0, y=0, z=0
+1105730371.0ns POS: x=170, y=90.3142, z=0; VEL:0, y=-50, z=0
+1112014290.0ns POS: x=170, y=90, z=0; VEL:0, y=0, z=0
+1112014290.0ns POS: x=170, y=90, z=0; VEL:50, y=0, z=0
+1405730371.0ns POS: x=184.686, y=90, z=0; VEL:0, y=0, z=0
+1405730371.0ns POS: x=184.686, y=90, z=0; VEL:50, y=0, z=0
+1489361883.0ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+1489361883.0ns POS: x=190, y=150, z=0; VEL:50.2111, y=0, z=0
+1705730371.0ns POS: x=199.686, y=90, z=0; VEL:0, y=0, z=0
+1705730371.0ns POS: x=199.686, y=90, z=0; VEL:50, y=0, z=0
+1887680358.0ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+1887680358.0ns POS: x=210, y=150, z=0; VEL:0, y=50.2111, z=0
+1912014290.0ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+1912014290.0ns POS: x=210, y=90, z=0; VEL:0, y=-50, z=0
+2285998833.0ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+2285998833.0ns POS: x=210, y=170, z=0; VEL:-50.2111, y=0, z=0
+2905730371.0ns POS: x=210, y=40.3142, z=0; VEL:0, y=0, z=0
+2905730371.0ns POS: x=210, y=40.3142, z=0; VEL:0, y=-50, z=0
+3082635783.0ns POS: x=170, y=170, z=0; VEL:0, y=0, z=0
+3082635783.0ns POS: x=170, y=170, z=0; VEL:0, y=-50.2111, z=0
+3095924240.0ns POS: x=170, y=169.333, z=0; VEL:0, y=0, z=0
